,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15
TCGA-05-4424-01,4.4164694481932205,-4.6530266996537355,3.4276025888903394,2.761995471109358,-1.5999962074932388,4.3692850449670155,-0.15092463321733532,0.5098196357076377,-0.8614149422815817,-0.7477047722956456,-2.107361288122612,2.236292966285598,-0.7666351515206706,1.0731081433851979,-1.2692179033138598
TCGA-05-4425-01,-0.8791031709274125,-0.3519270646277938,2.636913971661306,1.0031536377772479,-0.7799406641747948,-2.4163425732211414,-1.4030217381556067,-0.2845774689678963,-0.32230147255334,-0.1126593822928474,-0.29052536980941596,-0.9478795581838613,-0.7642621460511806,-0.5729393768471632,0.25174265398754286
TCGA-05-4426-01,-1.3316335006210083,0.9959474521267319,1.0373801956171946,2.1468446125099616,-1.4915289083347913,0.4814242432138828,0.24520882721402543,-0.36899426741627855,0.6373589987437912,-0.7862585730963577,-0.10871034155896309,0.468877678997901,-0.9850297983994248,-1.6547332913406307,0.0655189300741712
TCGA-05-4427-01,8.825882084115804,-4.07754400374164,1.1869738316395493,9.057919982996914,2.5198249729202447,1.776917203604048,1.7496493795367691,-2.322370082406972,-0.9540952957443642,0.41856641686417617,-2.592069155534242,2.913575117829047,0.4446186887802522,2.699646813770476,-1.2723940168969448
TCGA-05-4430-01,3.6779340215382605,-1.7959287032679399,1.6555679563314851,1.599570760863052,-1.5666187360185437,0.9520817602379823,-1.5676629886729385,0.7341609216661963,0.8399857038679236,1.0534010283182094,-1.258294554109028,1.9079719269847206,0.4636729821418993,-0.18567573801931123,0.058616187620363996
TCGA-05-4432-01,7.686827733554491,-1.3923088309584064,0.9966538868581079,2.5362969418153054,-2.405330784333738,4.641322008803526,0.7987059205585786,-0.5400202676042567,0.33477213053690863,0.04202178300534211,-0.7074090978449841,2.260030712810531,0.8564767168061477,0.6183252605044748,-1.104835630741552
TCGA-05-4433-01,-0.9312655577544526,-0.20550308773835735,1.5345057584789323,2.9109344745469543,-0.489893976484764,-1.4331688462047611,-0.6010736508299067,-1.9322721485072705,-0.9041030885769433,-0.6824626287412688,-0.8759732508304531,-2.714305388595319,-0.6214018213704187,-0.14679659334511105,0.05878762357232404
TCGA-05-4434-01,-7.996209276057261,-2.7184106284562453,2.945707769885142,1.2038661797419157,-2.5204484121147592,-1.3612710974588034,-1.4901100543614876,1.2518983237137313,0.26503552769732036,-0.22108345476264957,2.446766777634148,-0.5162828984098008,1.0526686724957035,-2.266728976477548,-3.5628742423160187
TCGA-05-5423-01,2.8371966669903705,1.1068813984175683,-0.3187246757509401,0.6533052300714927,-2.1291236031172764,0.5355229874148181,-1.1822329286198439,0.46362772741579944,-0.3267369941530279,0.2927415430741386,-1.6483115803287567,0.9924942977926691,-0.37144232670893657,0.39803342728304086,-1.195503100955569
TCGA-05-5425-01,4.778321668857052,-5.096071401128788,0.12772034448529349,4.398535918016226,0.07717177575433107,-0.33975177747569235,-1.4685612290120287,-1.3594418640394534,-0.29274322300887823,0.6192373504238113,-2.0277256664021,1.8372455562120957,0.3398036179378998,0.9794676085284936,-0.02365289402123207
TCGA-05-5428-01,3.8265303550405125,-1.517556563395889,-4.524298834211743,3.5053033601886217,3.2267905377463526,-2.710676878136827,-1.2882899848489966,-2.072799467790266,1.009169508701174,-0.566444693328938,-1.568494368110519,1.7439715569649377,-0.004364546305463072,1.0150133810395157,-0.27167342574176645
TCGA-05-5429-01,2.7680700967883967,1.0197780583815739,-1.5756828678592727,1.5812071812869646,-0.2854320141684556,0.9617976080839542,-1.7988079080868034,1.3655286116216636,-0.6325634826896932,-0.6366033318010663,-1.045212483393853,-1.9267257722685256,0.701104485454609,-2.0420281435060814,0.3789715881031373
